,label,sire,dam,gene
17993,3768536,3767568,3767568,60
18009,3768499,3767531,3767531,60
18043,3768588,3767620,3767620,60
18082,3768530,3767562,3767562,60
18089,3768621,3767653,3767653,60
18101,3768584,3767616,3767616,60
18117,3768659,3767691,3767691,60
18163,3768603,3767635,3767635,60
18185,3768557,3767589,3767589,60
18206,3427329,3276222,3276222,60
18214,3768593,3767625,3767625,60
18220,3768650,3767682,3767682,60
18221,3243829,3085663,3085663,60
18244,3768653,3767685,3767685,60
18282,3768555,3767587,3767587,60
18297,3768532,3767564,3767564,60
18307,3768535,3767567,3767567,60
18319,3768586,3767618,3767618,60
18371,3768590,3767622,3767622,60
18384,3768565,3767597,3767597,60
18679,2338002,2220103,2220103,60
19150,3117724,2885352,777182,60
19666,2352695,2351484,2351484,60
19719,3006173,2869322,2869322,60
20199,4609022,4608695,4608695,60
20339,4609024,4608697,4608697,60
20658,4609023,4608696,4608696,60
20689,4609021,4608694,4608694,60
20771,4510593,4510488,4510488,60
20989,4605065,4461835,4461835,60
21025,4461907,4461837,4461837,60
21028,4605067,4461838,4461838,60
21076,3085667,2879809,2879809,60
21128,4605068,4461839,4461839,60
21454,4688079,4510488,4510488,60
22152,762090,761779,82290,60
22229,3978857,3857533,3857533,60
22258,4605064,4461834,4461834,60
22423,4226615,4226575,4226575,60
22507,4017503,4016857,4016857,60
22598,4226641,4226600,4226600,60
22618,4226638,4226597,4226597,60
22646,4226683,4226573,4226573,60
22682,4226645,4226604,4226604,60
22694,4226636,4226595,4226595,60
22697,4226634,4226593,4226593,60
22727,4226630,4226590,4226590,60
22731,4226624,4226584,4226584,60
22743,4226654,4226613,4226613,60
22769,4226650,4226609,4226609,60
22785,4226662,4226551,4226551,60
22796,4226643,4226602,4226602,60
22797,4226657,4226546,4226546,60
22814,4226652,4226611,4226611,60
22847,4226671,4226560,4226560,60
22852,4226620,4226580,4226580,60
22853,4226655,4226614,4226614,60
22868,4226616,4226576,4226576,60
22871,4226653,4226612,4226612,60
22877,4226646,4226605,4226605,60
22880,4226667,4226556,4226556,60
22883,4226631,4226591,4226591,60
22888,4018006,4016881,4016881,60
22892,4226656,4226545,4226545,60
22915,4226651,4226610,4226610,60
22920,4226674,4226563,4226563,60
22921,4226632,4226592,4226592,60
22926,4226681,4226570,4226570,60
22930,4226637,4226596,4226596,60
22932,4226644,4226603,4226603,60
22933,4226658,4226547,4226547,60
22942,4226668,4226557,4226557,60
22950,4226661,4226550,4226550,60
22965,4226635,4226594,4226594,60
22968,4226675,4226564,4226564,60
22979,4226659,4226548,4226548,60
22987,4536689,4226574,4226574,60
